<<<<<<< HEAD
0,6,Swadia
2,6,Rhodok
2,6,Nord
1,6,Khergit
0,6,Sarranid
1,6,Vaegir
0,6,Swadia
1,6,Rhodok
3,6,Nord
0,6,Khergit
1,6,Sarranid
1,6,Vaegir
13,100,Swadia
19,100,Rhodok
14,100,Nord
18,100,Khergit
15,100,Sarranid
21,100,Vaegir
0,0,Swadia
0,0,Rhodok
0,0,Nord
0,0,Khergit
0,0,Sarranid
0,0,Vaegir
0,0,Swadia
0,0,Rhodok
0,0,Nord
0,0,Khergit
0,0,Sarranid
0,0,Vaegir
2,7,Swadia
1,7,Rhodok
0,7,Nord
1,7,Khergit
0,7,Sarranid
3,7,Vaegir
1,6,Swadia
0,6,Rhodok
3,6,Nord
1,6,Khergit
0,6,Sarranid
1,6,Vaegir
=======
3,6,Khergit
1,6,Rhodok
2,6,Nord
>>>>>>> 2697675b1e161b08619b4fa35fd0fc65b0373e46
